date,telework,wfh_baseline
2020-01-01,,0.0508931576509345
2020-02-01,,0.0508931576509345
2020-03-01,,0.0508931576509345
2020-04-01,,0.0508931576509345
2020-05-01,0.354226064433587,0.0508931576509345
2020-06-01,0.312215450345681,0.0508931576509345
2020-07-01,0.263952848212753,0.0508931576509345
2020-08-01,0.242726935507553,0.0508931576509345
2020-09-01,0.225941344110983,0.0508931576509345
2020-10-01,0.212114747575444,0.0508931576509345
2020-11-01,0.217468296837234,0.0508931576509345
2020-12-01,0.237101513462035,0.0508931576509345
2021-01-01,0.231884529184992,0.0508931576509345
2021-02-01,0.226038950374329,0.0508931576509345
2021-03-01,0.209262187619853,0.0508931576509345
2021-04-01,0.182339675556182,0.0508931576509345
2021-05-01,0.165375216838632,0.0508931576509345
2021-06-01,0.144161153631213,0.0508931576509345
2021-07-01,0.131432546002143,0.0508931576509345
2021-08-01,0.133666929626173,0.0508931576509345
2021-09-01,0.131831908813457,0.0508931576509345
2021-10-01,0.116379232728508,0.0508931576509345
2021-11-01,0.112572835188601,0.0508931576509345
2021-12-01,0.111170761289812,0.0508931576509345
2022-01-01,0.153360882844826,0.0508931576509345
2022-02-01,0.129667631722578,0.0508931576509345
2022-03-01,0.0997378527515348,0.0508931576509345
2022-04-01,0.0770078802329463,0.0508931576509345
2022-05-01,0.0734227733466311,0.0508931576509345
2022-06-01,0.0704665847467163,0.0508931576509345
2022-07-01,0.0705457640805039,0.0508931576509345
2022-08-01,0.0644866582986728,0.0508931576509345
2022-09-01,0.0515423151351681,0.0508931576509345
